                                            Anime,                 Video Number
"Gyakuten Saiban: Sono “Shinjitsu”, Igi Ari! Episode 13",90415
"Gyakuten Saiban: Sono “Shinjitsu”, Igi Ari! Episode 7",90001
"Gyakuten Saiban: Sono “Shinjitsu”, Igi Ari! Episode 8",90079
"Gyakuten Saiban: Sono “Shinjitsu”, Igi Ari! Episode 9",90151
Haifuri Episode 10,90289
Haifuri Episode 11,90356
Haifuri Episode 12,90422
Haifuri Episode 6,90007
Haifuri Episode 7,90086
Haifuri Episode 8,90155
Haifuri Episode 9,90222
Haikyuu!! OVA Episode 2,90034
Hakuouki: Otogisoushi Episode 3,90107
Hakuouki: Otogisoushi Episode 4,90108
Hatsukoi Monster Episode 1,90486
Hundred Episode 10,90248
Hundred Episode 11,90317
Hundred Episode 12,90385
Hundred Episode 7,90037
Hundred Episode 8,90117
Hundred Episode 9,90183
Jewelpet: Attack Chance!? Episode 3,90227
JoJo no Kimyou na Bouken: Diamond wa Kudakenai Episode 10,90208
JoJo no Kimyou na Bouken: Diamond wa Kudakenai Episode 11,90274
JoJo no Kimyou na Bouken: Diamond wa Kudakenai Episode 12,90338
JoJo no Kimyou na Bouken: Diamond wa Kudakenai Episode 13,90409
JoJo no Kimyou na Bouken: Diamond wa Kudakenai Episode 14,90467
JoJo no Kimyou na Bouken: Diamond wa Kudakenai Episode 8,90070
JoJo no Kimyou na Bouken: Diamond wa Kudakenai Episode 9,90144
Joker Game Episode 10,90251
Joker Game Episode 11,90320
Joker Game Episode 12,90387
Joker Game Episode 7,90044
Joker Game Episode 8,90120
Joker Game Episode 9,90343
Kagewani: Shou Episode 10,90207
Kagewani: Shou Episode 11,90273
Kagewani: Shou Episode 12,90341
Kagewani: Shou Episode 13,90408
Kagewani: Shou Episode 8,90069
Kagewani: Shou Episode 9,90143
Kaitou Joker 3rd Season Episode 10,90242
Kaitou Joker 3rd Season Episode 11,90310
Kaitou Joker 3rd Season Episode 12,90379
Kaitou Joker 3rd Season Episode 13,90440
Kaitou Joker 3rd Season Episode 7,90031
Kaitou Joker 3rd Season Episode 8,90106
Kaitou Joker 3rd Season Episode 9,90176
Kamisama Hajimemashita: Kako-hen Episode 3,90028
Kare Baka: Wagahai no Kare wa Baka de R Episode 6,90253
Kare Baka: Wagahai no Kare wa Baka de R Episode 7,90254
Kare Baka: Wagahai no Kare wa Baka de R Episode 8,90378
King of Prism by Pretty Rhythm Episode 1,90400
Kiznaiver Episode 10,90286
Kiznaiver Episode 11,90355
Kiznaiver Episode 12,90419
Kiznaiver Episode 6,90006
Kiznaiver Episode 7,90085
Kiznaiver Episode 8,90154
Kiznaiver Episode 9,90221
Kono Subarashii Sekai ni Shukufuku wo! OVA Episode 1,90429
Koutetsujou no Kabaneri Episode 10,90332
Koutetsujou no Kabaneri Episode 11,90402
Koutetsujou no Kabaneri Episode 12,90457
Koutetsujou no Kabaneri Episode 6,90061
Koutetsujou no Kabaneri Episode 7,90138
Koutetsujou no Kabaneri Episode 8,90202
Koutetsujou no Kabaneri Episode 9,90268
Kuma Miko Episode 10,90236
Kuma Miko Episode 11,90304
Kuma Miko Episode 12,90374
Kuma Miko Episode 7,90045
Kuma Miko Episode 8,90100
Kuma Miko Episode 9,90173
Kuma Miko Specials Episode 1,90444
Kurage no Shokudou Episode 1,90312
Kuromukuro Episode 10,90269
Kuromukuro Episode 11,90390
Kuromukuro Episode 12,90447
Kuromukuro Episode 13,90490
Kuromukuro Episode 7,90064
Kuromukuro Episode 8,90185
Kuromukuro Episode 9,90203
Kyoukai no Rinne (TV) 2nd Season Episode 10,90283
Kyoukai no Rinne (TV) 2nd Season Episode 11,90350
Kyoukai no Rinne (TV) 2nd Season Episode 12,90416
Kyoukai no Rinne (TV) 2nd Season Episode 13,90484
Kyoukai no Rinne (TV) 2nd Season Episode 6,90002
Kyoukai no Rinne (TV) 2nd Season Episode 7,90080
Kyoukai no Rinne (TV) 2nd Season Episode 8,90150
Kyoukai no Rinne (TV) 2nd Season Episode 9,90216
Love Live! Sunshine!! Episode 1,90489
Macross Delta Episode 10,90241
Macross Delta Episode 11,90318
Macross Delta Episode 13,90439
Macross Delta Episode 7,90027
Macross Delta Episode 8,90105
Macross Delta Episode 9,90186
Magi: Sinbad no Bouken (TV) Episode 10,90458
Magi: Sinbad no Bouken (TV) Episode 11,90459
Magi: Sinbad no Bouken (TV) Episode 5,90073
Magi: Sinbad no Bouken (TV) Episode 6,90139
Magi: Sinbad no Bouken (TV) Episode 7,90298
Magi: Sinbad no Bouken (TV) Episode 8,90336
Magi: Sinbad no Bouken (TV) Episode 9,90337
Mahoutsukai Precure! Episode 14,90042
Mahoutsukai Precure! Episode 15,90049
Mahoutsukai Precure! Episode 16,90124
Mahoutsukai Precure! Episode 17,90249
Mahoutsukai Precure! Episode 18,90250
Mahoutsukai Precure! Episode 19,90328
Mahoutsukai Precure! Episode 20,90508
Mahoutsukai Precure! Episode 21,90509
Masou Gakuen HxH Episode 1,90461
Mayoiga Episode 11,90280
Mayoiga Episode 12,90348
Mobile Suit Gundam Unicorn RE:0096 Episode 11,90293
Mobile Suit Gundam Unicorn RE:0096 Episode 12,90428
Mobile Suit Gundam Unicorn RE:0096 Episode 13,90495
Mobile Suit Gundam Unicorn RE:0096 Episode 7,90013
Mobile Suit Gundam Unicorn RE:0096 Episode 8,90090
Mobile Suit Gundam Unicorn RE:0096 Episode 9,90161
Mobile Suit Gundam: The Origin Episode 3,90077
Momokuri (TV) Episode 1,90462
Momokuri Episode 10,90364
Momokuri Episode 11,90417
Momokuri Episode 12,90502
Momokuri Episode 8,90008
Momokuri Episode 9,90169
Monster Strike Episode 23,90003
Monster Strike Episode 24,90081
Monster Strike Episode 25,90420
